2021-05-24 09:17:57- INFO	 Application shutdown requested.
2021-05-24 09:19:35- INFO	 Shutting down ExecutorService 'applicationTaskExecutor'
2021-05-24 09:19:35- INFO	 HikariPool-1 - Shutdown initiated...
2021-05-24 09:19:36- INFO	 HikariPool-1 - Shutdown completed.
2021-05-24 09:52:05- INFO	 Starting SpringJdbcApplication using Java 14.0.2 on shubhamdes with PID 160936 (D:\1\SpringJdbc\target\classes started by shubhamdes in D:\1\SpringJdbc)
2021-05-24 09:52:05- INFO	 No active profile set, falling back to default profiles: default
2021-05-24 09:52:05- INFO	 The Class-Path manifest attribute in C:\Users\shubhamdes\.m2\repository\com\oracle\database\jdbc\ojdbc8\19.8.0.0\ojdbc8-19.8.0.0.jar referenced one or more files that do not exist: file:/C:/Users/shubhamdes/.m2/repository/com/oracle/database/jdbc/ojdbc8/19.8.0.0/oraclepki.jar
2021-05-24 09:52:05- INFO	 Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-05-24 09:52:05- INFO	 For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-05-24 09:52:08- INFO	 Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2021-05-24 09:52:08- INFO	 Finished Spring Data repository scanning in 9 ms. Found 0 JDBC repository interfaces.
2021-05-24 09:52:09- INFO	 Tomcat initialized with port(s): 8080 (http)
2021-05-24 09:52:09- INFO	 Starting service [Tomcat]
2021-05-24 09:52:09- INFO	 Starting Servlet engine: [Apache Tomcat/9.0.45]
2021-05-24 09:52:09- INFO	 Initializing Spring embedded WebApplicationContext
2021-05-24 09:52:09- INFO	 Root WebApplicationContext: initialization completed in 4155 ms
2021-05-24 09:52:11- INFO	 Initializing ExecutorService 'applicationTaskExecutor'
2021-05-24 09:52:11- INFO	 LiveReload server is running on port 35729
2021-05-24 09:52:11- INFO	 HikariPool-1 - Starting...
2021-05-24 09:52:14- INFO	 HikariPool-1 - Start completed.
2021-05-24 09:52:14- INFO	 Tomcat started on port(s): 8080 (http) with context path ''
2021-05-24 09:52:15- INFO	 Started SpringJdbcApplication in 11.054 seconds (JVM running for 30.809)
2021-05-24 09:52:31- INFO	 Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-05-24 09:52:31- INFO	 Initializing Servlet 'dispatcherServlet'
2021-05-24 09:52:31- INFO	 Completed initialization in 2 ms
2021-05-24 09:53:26- INFO	 Employee list found 
2021-05-24 10:28:50- INFO	 Application shutdown requested.
2021-05-24 10:28:50- INFO	 Shutting down ExecutorService 'applicationTaskExecutor'
2021-05-24 10:28:50- INFO	 HikariPool-1 - Shutdown initiated...
2021-05-24 10:28:50- INFO	 HikariPool-1 - Shutdown completed.
2021-05-24 12:51:39- INFO	 Starting EmployeeServiceTest using Java 14.0.2 on shubhamdes with PID 166112 (started by shubhamdes in D:\1\SpringJdbc)
2021-05-24 12:51:39- INFO	 No active profile set, falling back to default profiles: default
2021-05-24 12:51:44- INFO	 Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2021-05-24 12:51:44- INFO	 Finished Spring Data repository scanning in 12 ms. Found 0 JDBC repository interfaces.
2021-05-24 12:51:56- INFO	 Initializing ExecutorService 'applicationTaskExecutor'
